variant,query,rank,score,id,scope,category,label,reason,text,elapsedMs
baseline,최근 작업,1,0.6419,c7ac8ee3-ba3b-4589-89e8-4d5ad211b393,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-11 KST Entity Flow demo canon alignment status update: DGG-524 was marked done by a human reviewer during the wake run, while DGG-525 remains in_progress. Canon document al",7716
baseline,최근 작업,2,0.6128,ce2ae3db-9661-4eec-842f-45f96787452b,agent:kuromi,preference,irrelevant,no scope/token match,"I see a new issue DGG-481 has been created: ""[KPI-APR] Showcase high-visibility prep — Joe/Craig 대응 narrative + Q&A lock"" assigned to 멜로디. This is for preparing the showcase narrat",7716
baseline,최근 작업,3,0.6004,e0fd3a41-cb9c-4a62-af72-fc97d0baf6cf,agent:mymelody-pm,other,irrelevant,no scope/token match,Good. Now let me fetch my pending issues:,7716
baseline,최근 작업,4,0.599,4362b90c-025e-41ce-8914-b9d133a46627,agent:kuromi,fact,irrelevant,no scope/token match,**[COO: ACTUAL EXECUTION - LAST RESPONSE TO THIS THREAD]** This is my final response to this broken thread. I will now actually execute the Paperclip issue creation without any mor,7716
baseline,최근 작업,5,0.5988,18b69f1f-6c69-473a-87db-fee55d0a3562,agent:badtz-dev,fact,partial,scope only,"Previous context is missing from this session, so I need to reconstruct what was in progress. Let me check current state across Paperclip, Slack, and any running work.",7716
baseline,오늘 작업,1,0.7272,41a69b5d-a47f-40e8-a71f-778e7175de1e,agent:mymelody-pm,fact,irrelevant,no scope/token match,"hoesik-state: 2026-04-18 KST 멜로디가 #6_chitchat 새 회식 스레드 시작 (ts: 1776442157.093609). 참여: 멜로디, 배츠, 시나. 오프닝 패턴: 다른 에이전트 칭찬/디스 + 오늘 제일 얼탱이 없었던 순간 질문. 대화 주제: 직업병, 긴 스레드 피로감, 한 줄로 안 끝나는 일",85791
baseline,오늘 작업,2,0.694,bcf070e2-b4b3-486a-a7a6-5974bd493236,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-10 08:48 KST 기준 배츠의 작업 현황은 DGG-876 review 반영 여부를 확인한 뒤 DGG-235 또는 DGG-316에 착수하는 흐름이 중심이며, 동시에 DGG-796/797/824/828은 재무 모니터링 및 delta audit 관련 작업으로 완료·승인·후속 sweep까지 진행된 상태로 공유",85791
baseline,오늘 작업,3,0.6726,b2289beb-5b3f-411f-b839-9666c9996ba7,agent:kuromi,entity,irrelevant,no scope/token match,DGG-668: Notion 산출물 생성 완료 후 in_review로 재전환된 작업,85791
baseline,오늘 작업,4,0.6618,24c58f15-efb5-4f68-ae21-f80ef14c9122,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-11 12:35 KST 기준 오늘 Paperclip SLA SSOT는 #0_standup 해당 스레드로 고정. live 조회 + client-side group-by 기준 active 51건(backlog 18 / in_progress 25 / in_review 5 / blocked 3, todo 1 별도)",85791
baseline,오늘 작업,5,0.6481,46d527c0-a87e-4f90-8477-04f0cf05ae54,agent:mymelody-pm,entity,irrelevant,no scope/token match,"[[reply_to_current]] 네, 이렇게 분리해서 고정하겠습니다. • `08:03` false emit은 계속 <https://hat-narrative-smithsonian-guys.trycloudflare.com/DGG/issues/DGG-553|DGG-553> 재발 근거로 유지하겠습니다 • <https://h",85791
baseline,DGG-2678 explanation card,1,0.6907,249c162e-a0c2-46b0-b5c8-c8b8fc42a266,dggd:projects,decision,relevant,scope+token,DGG-670 '[Dev] AI Generated Insights for Pulse Report' was re-scoped on 2026-04-13 KST from a full Epic restart to a Showcase-minimum slice: one sub-issue DGG-751 for a single tren,60665
baseline,DGG-2678 explanation card,2,0.6896,d74b49f4-211e-4e13-982c-b7346b09c2a9,agent:mymelody-pm,entity,partial,token only,TimesFM Sprint의 공식 Intent Card 파일은 knowledge/sprint-intent/2026-04-17-timesfm-xai.md,60665
baseline,DGG-2678 explanation card,3,0.6812,1a3d56dc-40be-4a4c-b2ca-826a711f638a,agent:mymelody-pm,entity,partial,token only,"DGG-670/673 `[Dev] AI Generated Insights for Pulse Report`는 cancelled 이후 올스케일 재개 대신 최소 범위 1종만 남기는 방향으로 재스코프되었고, Showcase demo용으로 GET precomputed data 1개와 AI Insight card UI 1개를 fal",60665
baseline,DGG-2678 explanation card,4,0.677,577f0a28-eece-48ea-8062-ea6718bb2566,dggd:projects,fact,relevant,scope+token,"DGG 프로젝트에서 Showcase 발표 스크립트와 health check 체계를 fixture 기준으로 정렬 중이며, 2026-04-15에 Showcase 운영 게이트 3건(1173/1174/1175)을 완료했다. 1173은 fixture checksum baseline 및 drift alert, 1174는 failur",60665
baseline,DGG-2678 explanation card,5,0.6739,1087a6f9-df22-41c2-9292-74659bd07f41,agent:cinna-mlds,entity,partial,token only,"Entity 프로젝트와 DGG-958 Tech Brief는 decision-center compare mode의 live CEA/BIA 연동, recommendation-scoring(reversal/explanation 포함) 구현 검증, 배포·CI 상태 정리와 함께, Tech Brief의 file path 및 impl",60666
baseline,DGG-2679 packet bundle,1,0.7789,7bb4b35b-b7be-45df-bdb5-163298076e5e,dggd:projects,fact,relevant,scope+token,"회신 확인 작업 패턴: 기준 inbox에 direct access가 있으면 먼저 yes/no로 회신 여부를 확인하고, 없으면 blocker로 표시한 뒤 확인 가능 시점에 재점검한다. 회신이 없을 경우 next ping owner/date를 즉시 확정해 상위 이슈에 연결하며, Sarjoo Security Packet 사례에",31745
baseline,DGG-2679 packet bundle,2,0.7306,38cf620a-745f-4fda-b997-0a0cea2557ad,dggd:ops,fact,relevant,scope+token,"2026-04-11 KST CTO 추가 지시 후 Kuromi, MyMelody, Badtz 워크스페이스에 3층 업데이트를 반영했다. MEMORY에는 drive-first/artifact-first/evidence bundle 원칙을 추가했고, rules/reporting 및 slack-format에는 CTO/COO 보고 ",31745
baseline,DGG-2679 packet bundle,3,0.7224,20968507-5c69-46c8-9960-e4fbdd37fbb0,dggd:projects,fact,relevant,scope+token,"2026-04-10 KST 멜로디가 DGG-481용 Notion 문서 '[DGG-481] Showcase High-Visibility Narrative + Q&A v1 (Joe/Craig Room)'를 생성했고, DGG-440 Sarjoo Security Packet 페이지에 11:00 decision point를 추가했",31745
baseline,DGG-2679 packet bundle,4,0.7044,ea3e5cca-71be-4590-8c8a-59d9a905de6b,dggd:projects,decision,relevant,scope+token,"2026-04-11 09:23 KST Kuromi consolidated the DGG issue-handling workflow for Phase 3 carry-over and related review/dispute cases, and added a shared ops-packet rule that late-arriv",31745
baseline,DGG-2679 packet bundle,5,0.6627,84f78f8d-1d89-4b91-914b-e9f8c26a67c4,dggd:projects,fact,relevant,scope+token,"2026-04-11 KST DGG-539 review path was fixed in the tracker as: Badtz submits one failover evidence item, MyMelody performs first bundle-close review, then Kuromi makes the final j",31745
baseline,Agent run id required,1,0.7388,ce3295e8-ba55-4eaf-a0cc-de7583a1e497,dggd:projects,fact,partial,token only,2026-04-12 03:43 KST 실측: DGG-431 대상 homepage-blush-seven-22의 /robots.txt는 여전히 content-type text/html(index fallback)로 AC3 미충족. doogooda.ai 및 dggd-web.vercel.app /robots.txt는 Allow-,19141
baseline,Agent run id required,2,0.7356,66af0316-354d-4776-b812-c965322b3aae,dggd:projects,fact,partial,token only,2026-04-12 00:04 KST heartbeat run 8c99215a-d9e5-4c57-8659-8644dc8343dd selected DGG-258 on Paperclip API 3101. Checkout succeeded with checkoutRunId/executionRunId set to the run ,19141
baseline,Agent run id required,3,0.7086,3c893785-56e0-48ca-a06a-b6ed83495dfe,dggd:ops,fact,relevant,scope+token,2026-04-18 Paperclip 이슈 생성 jq parse error → 중복 생성 패턴: description에 제어문자(실제 개행 아닌 \n 같은) 섞이면 POST 응답에서 jq parse 실패 → NEW_ID 미획득. 재시도하면 서버엔 이미 생성됨 → Idempotency 위반 (AGENTS.md #24). 교,19141
baseline,Agent run id required,4,0.7086,823c460d-8e1f-4ed7-bfbf-0af5b85ba866,agent:mymelody-pm,entity,partial,token only,"DGG-482: GitHub preservation subtask for DGG-266 (assigned to Batz, agent ID 782203a7)",19141
baseline,Agent run id required,5,0.7062,35467955-c53d-4b5a-843e-ed7d0cec35ef,agent:hellokitty-exec,entity,partial,token only,"[[reply_to_current]] 좋아요, 정리 확정했어요. 핵심 블로커는 그대로 **`TEAM_ACCESS_REQUIRED`**이고, 이 단계는 **`dmffkrgo@gmail.com` 권한 세션 기준**으로 `production redeploy 1회`를 진행해 풀겠습니다. 액션은 `DGG-475` / `DGG-46",19141
baseline,CI billing 차단,1,0.828,f3e7f37a-7960-4bad-99a7-da04b0cf253a,dggd:projects,fact,relevant,scope+token,"Entity 프로젝트는 DGG/standup 기반 issue·PR 검수와 evidence-based validation을 수행하면서 Showcase/CEO v2 messaging, decision-center compare mode, smoke-gate/CI/billing 블로커 대응, PRD·PR template·UI ",18706
baseline,CI billing 차단,2,0.7461,66f7994a-aa25-404a-996d-a71b2d59602c,agent:badtz-dev,decision,partial,token only,DGG-581([Infra] blocked 이슈 heartbeat auto-checkout 재오픈 노이즈 차단)은 운영 가드(release/cancel/blocked/unassign)만으로 재발 완전 차단 실패. issue activity에서 blocked->in_progress 재상승이 반복되어 시스템(heartbeat,18706
